epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,162.984,0.95541,0.43485,0.79903,0.98596,0.97872,0.99003,0.72116,1.04257,0.46118,0.7766,0.000614,0.000614,0.000614
44,166.416,0.96871,0.43944,0.80507,0.97831,0.98936,0.99,0.73628,0.99717,0.4548,0.77503,0.000581,0.000581,0.000581
45,169.779,0.90411,0.42949,0.80097,0.96831,0.98936,0.99014,0.72725,1.06045,0.46802,0.77444,0.000548,0.000548,0.000548
46,173.596,0.90958,0.42065,0.79795,0.96875,0.98935,0.99012,0.72548,1.06598,0.48515,0.77333,0.000515,0.000515,0.000515
47,176.39,0.96329,0.41973,0.79699,0.96872,0.98851,0.99055,0.73301,1.01986,0.48745,0.77256,0.000482,0.000482,0.000482
48,179.441,0.90805,0.41628,0.79782,0.98923,0.97721,0.99013,0.73217,1.04988,0.4889,0.77617,0.000449,0.000449,0.000449
49,182.051,0.91484,0.41009,0.80613,0.97893,0.98832,0.99052,0.72595,1.08919,0.47986,0.77866,0.000416,0.000416,0.000416
50,186.07,0.90214,0.4067,0.80481,0.97893,0.98847,0.99078,0.72508,1.08817,0.47829,0.77944,0.000383,0.000383,0.000383
51,202.643,0.89257,0.41595,0.81004,0.97893,0.98835,0.99073,0.74079,1.05943,0.46345,0.77902,0.00035,0.00035,0.00035
52,211.09,0.87764,0.39431,0.80066,0.97881,0.98302,0.99027,0.74713,1.01829,0.44815,0.77574,0.000317,0.000317,0.000317
53,215.831,0.86641,0.39656,0.79835,0.97869,0.97696,0.99033,0.74747,1.02505,0.44821,0.77627,0.000284,0.000284,0.000284
54,218.72,0.86973,0.40228,0.80222,0.97868,0.97687,0.98989,0.73553,1.04249,0.45526,0.77579,0.000251,0.000251,0.000251
55,221.565,0.85139,0.39644,0.80338,0.96836,0.97684,0.98952,0.72961,1.07561,0.46152,0.77653,0.000218,0.000218,0.000218
56,225.541,0.87325,0.40653,0.79963,0.98512,0.96809,0.99058,0.73698,1.07087,0.45607,0.77768,0.000185,0.000185,0.000185
57,228.869,0.84149,0.38374,0.81176,0.97871,0.9783,0.99129,0.7338,1.05423,0.45359,0.77704,0.000152,0.000152,0.000152
58,231.728,0.84987,0.3788,0.79588,0.98828,0.96809,0.99095,0.73991,1.04099,0.44593,0.7764,0.000119,0.000119,0.000119
59,234.537,0.87019,0.38775,0.79452,0.98911,0.96669,0.99089,0.73561,1.05714,0.44734,0.77729,8.6e-05,8.6e-05,8.6e-05
60,238.612,0.87813,0.39229,0.79824,0.97889,0.98668,0.99097,0.73468,1.06718,0.45279,0.77734,5.3e-05,5.3e-05,5.3e-05
